Nr,request,deviation_count,uri,1xx,2xx,3xx,4xx,5xx,9xx
0,"GET / HTTP/1.1
Host: >>HOST_PLACEHOLDER<< 
 	
 
  
 
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8 	
Accept-Encoding: gzip, deflate, br	
Accept-Language: en-US,en;q=0.5
DNT: 1
 
 
Connection: keep-alive 
 
Upgrade-Insecure-Requests: 1	
 
 
 			 			
 
 
 	
  
 
Sec-Fetch-Dest: document
  
 	
 			
Sec-Fetch-Mode: navigate	 
Sec-Fetch-Site: cross-site

",42,/,0,10,2,8,0,0
1,"GET / HTTP/1.1
Host: >>HOST_PLACEHOLDER<<
 
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0	
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive  		 
 
 
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document  
 
 
 		  
 
 			
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site			  

",28,/,0,10,2,8,0,0
2,"GET / HTTP/1.1
Host: >>HOST_PLACEHOLDER<<
 
 
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0	 
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5 
 	 		 	
  	
DNT: 1
 			
Connection: keep-alive
Upgrade-Insecure-Requests: 1 
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate  
 
Sec-Fetch-Site: cross-site

",23,/,0,10,2,8,0,0
3,"GET / HTTP/1.1
Host: >>HOST_PLACEHOLDER<<  
  
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0		
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
  	 	
 	
 
 
DNT: 1
Connection: keep-alive	  
 
Upgrade-Insecure-Requests: 1	
    
Sec-Fetch-Dest: document 
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site  
 				

",32,/,0,10,2,8,0,0
4,"GET / HTTP/1.1
Host: >>HOST_PLACEHOLDER<<
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
 
Accept-Encoding: gzip, deflate, br 
 	
 
Accept-Language: en-US,en;q=0.5	
DNT: 1  	 
 		 
 
   	
 
 	  
 
  
Connection: keep-alive
 
 
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document  
 					 
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site	   
 	

",44,/,0,10,2,8,0,0
5,"GET / HTTP/1.1
Host: >>HOST_PLACEHOLDER<<	 
 		
 		
  
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
 
  
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br		
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document 
Sec-Fetch-Mode: navigate	 
Sec-Fetch-Site: cross-site			  

",23,/,0,7,1,12,0,0
6,"GET / HTTP/1.1
Host: >>HOST_PLACEHOLDER<<  
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
 
DNT: 1
Connection: keep-alive
Upgrade-Insecure-Requests: 1
 	  
 
 
 	    
Sec-Fetch-Dest: document
 
 
Sec-Fetch-Mode: navigate		
 
 
Sec-Fetch-Site: cross-site 

",22,/,0,10,2,8,0,0
7,"GET / HTTP/1.1
Host: >>HOST_PLACEHOLDER<<  
 
 
  
 	 	  
   	
   
 
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
 
 		  	  
  
 
 
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
 		
 
 
Accept-Encoding: gzip, deflate, br
   
Accept-Language: en-US,en;q=0.5
 
 	
 
DNT: 1 			
Connection: keep-alive	
 
Upgrade-Insecure-Requests: 1
 		
  	
 	
 	
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",61,/,0,10,2,8,0,0
8,"GET / HTTP/1.1
Host: >>HOST_PLACEHOLDER<<	
 
  
 	
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
 	
  			
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8  	
 	
Accept-Encoding: gzip, deflate, br
 
Accept-Language: en-US,en;q=0.5	
 	
  
DNT: 1
  	
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate	
 
Sec-Fetch-Site: cross-site
 
 
 	
 	
 
  	
       		 

",49,/,0,7,1,12,0,0
9,"GET / HTTP/1.1
Host: >>HOST_PLACEHOLDER<<
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br  
Accept-Language: en-US,en;q=0.5	
 
DNT: 1
Connection: keep-alive
 
 
 
Upgrade-Insecure-Requests: 1  
 
Sec-Fetch-Dest: document 
  
 		
Sec-Fetch-Mode: navigate 
  	 
Sec-Fetch-Site: cross-site	 	

",24,/,0,10,2,8,0,0
